"N";"Category";"Category Type";"Type";"Description";"Type";"Identifier";"LDEL";"Fields";"Label";"RDEL";"GEDCOM";"Shorten";"Attribute";"Privacy";"Optional";"Hint";"Tooltip"
;;;;;;;;"[TYPE]";"Item Type";",";;;;;;;
;;;;;;;;"[DATE]";"Record Date(s)";".";;;;;;;
19;"Archives & Artifacts";"Private Holdings";"Legal document, unrecorded";;"L";"ESM111";;"[COLLECTION]";;".";"T";;;;;;
;;;;;;;;"[REPOSITORY]";"Current or Last Known Owner";",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
;;;;;;;;"[YEAR]";"Year Owned";".";"P";;;;;;
19;"Archives & Artifacts";"Private Holdings";"Legal document, unrecorded";;"F";"ESM111";;"[AUTHOR]";"Author (Grantor)";",";;;;;;;
;;;;;;;" to";"[RECIPIENT]";;",";;;;;;;
;;;;;;;;"[ID]";"Record ID";",";;;;;;;
;;;;;;;;"[DATE]";"Record Date(s)";";";;;;;;;
;;;;;;;;"[FORMAT]";"Item Format";",";;;;;;;
;;;;;;;;"[COLLECTION]";;";";;;;;;;
;;;;;;;;"[REPOSITORY]";"Current or Last Known Owner";",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;",";;"LOC";;;;;
;;;;;;;;"[YEAR]";"Year Owned";".";;;;;;;
;;;;;;;;"[RESEARCH COMMENT]";"Descriptive Detail/Evaluation";".";;;;;;;
19;"Archives & Artifacts";"Private Holdings";"Legal document, unrecorded";;"S";"ESM111";;"[AUTHOR]";"Author (Grantor)";;;;;;;;
;;;;;;;" to";"[RECIPIENT]";;",";;;;;;;
;;;;;;;;"[ID]";"Record ID";",";;;;;;;
;;;;;;;;"[DATE]";"Record Date(s)";".";;"YEAR";;;;;
20;"Archives & Artifacts";"Private Holdings";"Personal correspondence";;"L";"ESM112";;"[COLLECTION]";;".";"T";;;;;;
;;;;;;;;"[REPOSITORY]";"Owner";",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
20;"Archives & Artifacts";"Private Holdings";"Personal correspondence";;"F";"ESM112";;"[AUTHOR]";"Writer";",";;"GS";;;;;
;;;;;;;;"[AFFILIATION]";"Writer's Affiliation";",";;;;;;;
;;;;;;;;"[ADDRESS]";"Writer's Address";",";;"PRIVLOC";;"Privacy";;;
;;;;;;;" to";"[RECIPIENT]";;",";;;;;;;
;;;;;;;;"[TYPE]";"Item Type";",";;;;;;;
;;;;;;;;"[DATE]";"Record Date(s)";",";;;;;;;
;;;;;;;;"[SUBJECT]";;";";;;;;;;
;;;;;;;;"[FILE UNIT]";"Folder Label";";";;;;;;;
;;;;;;;;"[RESEARCH PROJECT]";;",";;;;;;;
;;;;;;;;"[COLLECTION]";;";";;;;;;;
;;;;;;;;"[REPOSITORY]";"Owner";",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
20;"Archives & Artifacts";"Private Holdings";"Personal correspondence";;"S";"ESM112";;"[AUTHOR]";"Writer";;;"S";;;;;
;;;;;;;" to";"[RECIPIENT]";;",";;;;;;;
;;;;;;;;"[DATE]";"Record Date(s)";".";;;;;;;
21;"Archives & Artifacts";"Private Holdings";"Personal e-mail";;"L";"ESM113";;"[COLLECTION]";;".";"T";;;;;;
;;;;;;;;"[REPOSITORY]";"Owner";",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
21;"Archives & Artifacts";"Private Holdings";"Personal e-mail";;"F";"ESM113";;"[AUTHOR]";"Writer";",";;"GS";;;;;
;;;;;;;;"[ADDRESS]";"Writer's Address";",";;"PRIVLOC";;"Privacy";;;
;;;;;;;" to";"[RECIPIENT]";;",";;;;;;;
;;;;;;;;"[TYPE]";"Item Type";",";;;;;;;
;;;;;;;;"[DATE]";"Record Date(s)";",";;;;;;;
;;;;;;;;"[SUBJECT]";;",";;;;;;;
;;;;;;;;"[FILE]";;",";;;;;;;
;;;;;;;;"[RESEARCH PROJECT]";;",";;;;;;;
;;;;;;;;"[COLLECTION]";;";";;;;;;;
;;;;;;;;"[REPOSITORY]";"Owner";",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
21;"Archives & Artifacts";"Private Holdings";"Personal e-mail";;"S";"ESM113";;"[AUTHOR]";"Writer";;;"S";;;;;
;;;;;;;" to";"[RECIPIENT]";;",";;;;;;;
;;;;;;;;"[TYPE]";"Item Type";",";;;;;;;
;;;;;;;;"[DATE]";"Record Date(s)";".";;;;;;;
22;"Archives & Artifacts";"Private Holdings";"Research Report";;"L";"ESM114";;"[AUTHOR]";;",";"A";"SG";;;;;
;;;;;;;;"[PROFESSIONAL CREDENTIALS]";;".";"A";;;;;;
;;;;;;;;"[TITLE]";"Report Title";".";"T";;"Quoted";;;;
;;;;;;;;"[TYPE]";"Item Type";;"T";;;;;;
;;;;;;;" to";"[RECIPIENT]";;;"T";;;;;;
;;;;;;;;"[ADDRESS]";"Recipient Address";",";;;;"Privacy";;;
;;;;;;;;"[LOCATION]";"Recipient Location";",";"P";;;;;;
;;;;;;;;"[REPORT DATE]";;".";"P";;;;;;
;;;;;;;;"[FORMAT]";"Item Format";;"P";;;;;;
;;;;;;;;"[REPOSITORY]";"Current or Last Known Owner";",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
22;"Archives & Artifacts";"Private Holdings";"Research Report";;"F";"ESM114";;"[AUTHOR]";;",";;"GS";;;;;
;;;;;;;;"[PROFESSIONAL CREDENTIALS]";;",";;;;;;;
;;;;;;;;"[TITLE]";"Report Title";",";;;"Quoted";;;;
;;;;;;;;"[PAGE]";"Page(s)";";";;;;;;;
;;;;;;;;"[TYPE]";"Item Type";;;;;;;;
;;;;;;;" to";"[RECIPIENT]";;",";;;;;;;
;;;;;;;;"[ADDRESS]";"Recipient Address";;;;;"Privacy";;;
;;;;;;;;"[LOCATION]";"Recipient Location";",";;;;;;;
;;;;;;;;"[REPORT DATE]";;";";;;;;;;
;;;;;;;;"[FORMAT]";"Item Format";;;;;;;;
;;;;;;;;"[REPOSITORY]";"Current or Last Known Owner";",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
22;"Archives & Artifacts";"Private Holdings";"Research Report";;"S";"ESM114";;"[AUTHOR]";;",";;"S";;;;;
;;;;;;;;"[TITLE]";"Report Title";",";;;"Quoted";;;;
;;;;;;;;"[PAGE]";"Page(s)";".";;;;;;;
23;"Archives & Artifacts";"Private Holdings";"Tradition, recorded";;"L";"ESM115";;"[COLLECTION]";;".";"T";;;;;;
;;;;;;;;"[COMPILER]";;".";"P";;;;;;
;;;;;;;;"[TYPE]";"Record Type";",";"P";;;;;;
;;;;;;;;"[CREATION DATE]";;".";"P";;;;;;
;;;;;;;;"[REPOSITORY]";"Current or Last Known Owner";",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
23;"Archives & Artifacts";"Private Holdings";"Tradition, recorded";;"F";"ESM115";;"[COLLECTION]";;",";;;;;;;
;;;;;;;;"[COMPILER]";;;;;;;;;
;;;;;;;"(";"[TYPE]";"Record Type";",";;;;;;;
;;;;;;;;"[CREATION DATE]";;";";;;;;;;
;;;;;;;;"[REPOSITORY]";"Current or Last Known Owner";",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;");";;"LOC";;;;;
;;;;;;;;"[SUBJECT]";;",";;;;;;;
;;;;;;;;"[PROVENANCE]";"Source of Information";",";;;;;;;
;;;;;;;;"[RELATIONSHIP]";"Source's relationship to subject, …";",";;;;;;;
;;;;;;;;"[DATE]";"Item Date";".";;;;;;;
;;;;;;;;"[RESEARCH COMMENT]";"Provenance & Evaluation of Tradition";".";;;;;;;
23;"Archives & Artifacts";"Private Holdings";"Tradition, recorded";;"S";"ESM115";;"[COLLECTION]";;",";;;;;;;
;;;;;;;;"[SUBJECT]";;;;;;;;;
24;"Business & institutional Records";"Corporate Records";"Bound volume";;"L";"ESM161";;"[COLLECTION]";;",";"T";;;;;;
;;;;;;;;"[DATE RANGE]";;".";"T";;;;;;
;;;;;;;;"[SERIES]";;".";"P";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
24;"Business & institutional Records";"Corporate Records";"Bound volume";;"F";"ESM161";;"[TITLE]";"Record Book Title";",";;;"Quoted";;;;
;;;;;;;"p.";"[PAGE]";"Page(s)";";";;;;;;;
;;;;;;;;"[SERIES]";;";";;;;;;;
;;;;;;;;"[FILE LOCATION]";;",";;;;;;;
;;;;;;;;"[COLLECTION]";;",";;;;;;;
;;;;;;;;"[DATE RANGE]";;";";;;;;;;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
24;"Business & institutional Records";"Corporate Records";"Bound volume";;"S";"ESM161";;"[TITLE]";"Record Book Title";",";;;"Quoted";;;;
;;;;;;;;"[PAGE]";"Page(s)";",";;;;;;;
;;;;;;;;"[COLLECTION]";;".";;;;;;;
25;"Business & institutional Records";"Corporate Records";"Document (loose record)";;"L";"ESM162";;"[COLLECTION]";;".";"T";;;;;;
;;;;;;;;"[SERIES]";;",";"T";;;;;;
;;;;;;;;"[DATE RANGE]";;".";"T";;;;;;
;;;;;;;;"[GROUP]";"Record Group and/or Subgroup";".";"P";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
25;"Business & institutional Records";"Corporate Records";"Document (loose record)";;"F";"ESM162";;"[ITEM OF INTEREST]";;",";;;;;;;
;;;;;;;;"[TYPE]";"Item Type";",";;;;;;;
;;;;;;;;"[DATE]";"Record Date(s)";";";;;;;;;
;;;;;;;;"[FILE LOCATION]";;";";;;;;;;
;;;;;;;;"[SERIES]";;",";;;;;;;
;;;;;;;;"[DATE RANGE]";;";";;;;;;;
;;;;;;;;"[GROUP]";"Record Group and/or Subgroup";",";;;;;;;
;;;;;;;;"[COLLECTION]";;";";;;;;;;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
25;"Business & institutional Records";"Corporate Records";"Document (loose record)";;"S";"ESM162";;"[ITEM OF INTEREST]";;",";;;;;;;
;;;;;;;;"[DATE]";"Record Date(s)";",";;;;;;;
;;;;;;;;"[SERIES]";;",";;;;;;;
;;;;;;;;"[COLLECTION]";;".";;;;;;;
26;"Business & institutional Records";"Corporate Records";"Extract supplied by staff";;"L";"ESM163";;"[AUTHOR]";"Writer";;"A";;;;;;
;;;;;;;"(";"[ADDRESS]";"Writer's Address";")";"P";"PRIVLOC";;"Privacy";;;
;;;;;;;" to";"[RECIPIENT]";;".";"T";;;;;;
;;;;;;;;"[TYPE]";"Item Type";".";"T";;;;;;
;;;;;;;;"[DATE RANGE]";"Record Date Range";".";"P";;;;;;
;;;;;;;;"[REPOSITORY]";"Owner";",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
;;;;;;;;"[YEAR]";;".";"P";;;;;;
26;"Business & institutional Records";"Corporate Records";"Extract supplied by staff";;"F";"ESM163";;"[AUTHOR]";"Writer";;;;;;;;
;;;;;;;"(";"[ADDRESS]";"Writer's Address";")";;"PRIVLOC";;"Privacy";;;
;;;;;;;" to";"[RECIPIENT]";;",";;;;;;;
;;;;;;;;"[TYPE]";"Item Type";",";;;;;;;
;;;;;;;;"[DATE]";"Record Date(s)";",";;;;;;;
;;;;;;;;"[SUBJECT]";"Owner";";";;;;;;;
;;;;;;;;"[REPOSITORY]";"Record Owner";",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;",";;"LOC";;;;;
;;;;;;;;"[YEAR]";;".";;;;;;;
26;"Business & institutional Records";"Corporate Records";"Extract supplied by staff";;"S";"ESM163";;"[AUTHOR]";"Writer";;;;;;;;
;;;;;;;" to";"[RECIPIENT]";;",";;;;;;;
;;;;;;;;"[DATE]";"Record Date(s)";".";;;;;;;
27;"Business & institutional Records";"Corporate Records";"Microfilm";;"L";"ESM164";;"[COLLECTION]";;".";"T";;;;;;
;;;;;;;;"[SERIES]";;".";"T";;;;;;
;;;;;;;;"[SUBSERIES]";;",";"T";;;;;;
;;;;;;;;"[DATE RANGE]";;".";"T";;;;;;
;;;;;;;;"[ID]";"Microfilm ID";".";"P";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
27;"Business & institutional Records";"Corporate Records";"Microfilm";;"F";"ESM164";;"[TITLE]";"Record Title";",";;;"Quoted";;;;
;;;;;;;;"[ITEM OF INTEREST]";;";";;;;;;;
;;;;;;;;"[SUBSERIES]";;",";;;;;;;
;;;;;;;;"[DATE RANGE]";;";";;;;;;;
;;;;;;;;"[SERIES]";;";";;;;;;;
;;;;;;;;"[FILE LOCATION]";;",";;;;;;;
;;;;;;;;"[COLLECTION]";;;;;;;;;
;;;;;;;"(";"[ROLL]";;"),";;;;;;;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
27;"Business & institutional Records";"Corporate Records";"Microfilm";;"S";"ESM164";;"[TITLE]";"Record Title";".";;;"Quoted";;;;
;;;;;;;;"[ITEM OF INTEREST]";;";";;;;;;;
;;;;;;;;"[SUBSERIES]";;",";;;;;;;
;;;;;;;;"[SERIES]";;";";;;;;;;
;;;;;;;;"[COLLECTION]";;".";;;;;;;
28;"Business & institutional Records";"Corporate Records";"Online database";;"L";"ESM165";;"[TITLE]";"Database Title";".";"T";;"Quoted";;;;
;;;;;;;;"[TYPE]";"Item Type";".";"T";;;;;;
;;;;;;;;"[WEBSITE CREATOR/OWNER]";;".";"A";;;;;;
;;;;;;;;"[WEBSITE]";;".";"P";;"Italics";;;;
;;;;;;;;"[URL (DIGITAL LOCATION)] ";;":";"P";;;;;;
;;;;;;;;"[YEAR]";"Year(s)";".";"P";;;;;;
28;"Business & institutional Records";"Corporate Records";"Online database";;"F";"ESM165";;"[TITLE]";"Database Title";".";;;"Quoted";;;;
;;;;;;;;"[TYPE]";"Item Type";",";;;;;;;
;;;;;;;;"[WEBSITE CREATOR/OWNER]";;",";;;;;;;
;;;;;;;;"[WEBSITE]";;;;;"Italics";;;;
;;;;;;;"(";"[URL (DIGITAL LOCATION)]";;":";;;;;;;
;;;;;;;"accessed";"[DATE ACCESSED]";;"),";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;".";;;;;;;
28;"Business & institutional Records";"Corporate Records";"Online database";;"S";"ESM165";;"[TITLE]";"Database Title";",";;;"Quoted";;;;
;;;;;;;;"[WEBSITE]";;",";;;"Italics";;;;
;;;;;;;;"[ITEM OF INTEREST]";;".";;;;;;;
29;"Business & institutional Records";"Corporate Records";"Online image";;"L";"ESM166";;"[COLLECTION]";;".";"T";;"Quoted";;;;
;;;;;;;;"[TYPE]";"Item Type";".";"T";;;;;;
;;;;;;;;"[WEBSITE]";;;"P";;"Italics";;;;
;;;;;;;;"[URL (DIGITAL LOCATION)]";;":";"P";;;;;;
;;;;;;;;"[YEAR]";"Year(s)";".";"P";;;;;;
;;;;;;;;"[CREDIT LINE]";;".";;;;;;;
29;"Business & institutional Records";"Corporate Records";"Online image";;"F";"ESM166";;"[COLLECTION]";;",";;;"Quoted";;;;
;;;;;;;;"[TYPE]";"Item Type";",";;;;;;;
;;;;;;;;"[WEBSITE]";;;;;"Italics";;;;
;;;;;;;"(";"[URL (DIGITAL LOCATION)]";;":";;;;;;;
;;;;;;;"accessed";"[DATE ACCESSED]";;"),";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;";";;;;;;;
;;;;;;;"citing";"[CREDIT LINE]";;".";;;"Quoted";;;;
29;"Business & institutional Records";"Corporate Records";"Online image";;"S";"ESM166";;"[COLLECTION]";;",";;;"Quoted";;;;
;;;;;;;;"[WEBSITE]";;",";;;"Italics";;;;
;;;;;;;;"[ITEM OF INTEREST]";;".";;;;;;;
30;"Business & institutional Records";"Lineage-society Records";"Application file";;"L";"ESM167";;"[AUTHOR]";"Organization";".";"A";;;;;;
;;;;;;;;"[COLLECTION]";;;"T";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
30;"Business & institutional Records";"Lineage-society Records";"Application file";;"F";"ESM167";;"[FILE]";;",";;;;;;;
;;;;;;;;"[NUMBER]";"Membership Number";",";;;;;;;
;;;;;;;;"[AUTHOR]";"Organization";",";;;;;;;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
30;"Business & institutional Records";"Lineage-society Records";"Application file";;"S";"ESM167";;"[FILE]";;",";;;;;;;
;;;;;;;;"[NUMBER]";"Membership Number";",";;;;;;;
;;;;;;;;"[AUTHOR]";"Organization";".";;;;;;;
31;"Business & institutional Records";"Lineage-society Records";"Online database";;"L";"ESM168";;"[AUTHOR]";"Organization";".";"A";;;;;;
;;;;;;;;"[WEBSITE]";;".";"T";;"Italics";;;;
;;;;;;;;"[TYPE]";"Item Type";".";"T";;;;;;
;;;;;;;;"[URL (DIGITAL LOCATION)]";;":";"P";;;;;;
;;;;;;;;"[YEAR]";"Year(s)";".";"P";;;;;;
31;"Business & institutional Records";"Lineage-society Records";"Online database";;"F";"ESM168";;"[AUTHOR]";"Organization";",";;;;;;;
;;;;;;;;"[WEBSITE]";;",";;;"Italics";;;;
;;;;;;;;"[TYPE]";"Item Type";;;;;;;;
;;;;;;;"(";"[URL (DIGITAL LOCATION)]";;":";;;;;;;
;;;;;;;"accessed";"[DATE ACCESSED]";;"),";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;".";;;;;;;
31;"Business & institutional Records";"Lineage-society Records";"Online database";;"S";"ESM168";;"[AUTHOR]";"Organization";",";;;;;;;
;;;;;;;;"[WEBSITE]";;",";;;"Italics";;;;
;;;;;;;;"[ITEM OF INTEREST]";;".";;;;;;;
32;"Business & institutional Records";"Organizational Records";"Archived in-house";;"L";"ESM169";;"[AUTHOR]";"Organization";".";"A";;;;;;
;;;;;;;;"[COLLECTION]";;".";"T";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
32;"Business & institutional Records";"Organizational Records";"Archived in-house";;"F";"ESM169";;"[TITLE]";"Record Title";";";;;"Quoted";;;;
;;;;;;;;"[FILE]";;",";;;;;;;
;;;;;;;;"[SERIES]";;",";;;;;;;
;;;;;;;;"[COLLECTION]";;";";;;;;;;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[AUTHOR]";"Organization";",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
32;"Business & institutional Records";"Organizational Records";"Archived in-house";;"S";"ESM169";;"[TITLE]";"Record Title";",";;;"Quoted";;;;
;;;;;;;;"[COLLECTION]";;".";;;;;;;
33;"Business & institutional Records";"Organizational Records";"Archived off-site";;"L";"ESM170";;"[AUTHOR]";"Organization";".";"A";;;;;;
;;;;;;;;"[TITLE]";"File Title";",";"T";;"QuotedCont";;;;
;;;;;;;;"[TYPE]";"Item Type";".";"T";;"QuotedCont";;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
33;"Business & institutional Records";"Organizational Records";"Archived off-site";;"F";"ESM170";;"[ITEM OF INTEREST]";;";";;;;;;;
;;;;;;;;"[TITLE]";"File Title";",";;;"QuotedCont";;;;
;;;;;;;;"[TYPE]";"Item Type";",";;;"QuotedCont";;;;
;;;;;;;;"[AUTHOR]";"Organization";",";;;;;;;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
33;"Business & institutional Records";"Organizational Records";"Archived off-site";;"S";"ESM170";;"[ITEM OF INTEREST]";;",";;;;;;;
;;;;;;;;"[TITLE]";"File Title";",";;;"Quoted";;;;
;;;;;;;;"[AUTHOR]";"Organization";".";;;;;;;
34;"Business & institutional Records";"Professional Reports";"Genetic testing";;"L";"ESM171";;"[AUTHOR]";"Corporate Author";;"A";;;;;;
;;;;;;;"(";"[AUTHOR LOCATION]";"Corporate Location";").";"P";;;;;;
;;;;;;;;"[TITLE]";"Report Title";",";"T";;"Quoted";;;;
;;;;;;;;"[RECIPIENT]";;",";"T";;;;;;
;;;;;;;;"[ADDRESS]";"Recipient Address";",";;;;"Privacy";;;
;;;;;;;;"[LOCATION]";"Recipient Location";".";"P";;;;;;
;;;;;;;;"[REPORT DATE]";;".";"P";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[YEAR]";"When Held";".";"P";;;;;;
34;"Business & institutional Records";"Professional Reports";"Genetic testing";;"F";"ESM171";;"[AUTHOR]";"Corporate Author";;;;;;;;
;;;;;;;"(";"[AUTHOR LOCATION]";"Corporate Location";"),";;;;;;;
;;;;;;;;"[TITLE]";"Report Title";",";;;"Quoted";;;;
;;;;;;;;"[RECIPIENT]";;",";;;;;;;
;;;;;;;;"[ADDRESS]";"Recipient Address";",";;;;"Privacy";;;
;;;;;;;;"[LOCATION]";"Recipient Location";",";;;;;;;
;;;;;;;;"[REPORT DATE]";;";";;;;;;;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[YEAR]";"When Held";".";;;;;;;
34;"Business & institutional Records";"Professional Reports";"Genetic testing";;"S";"ESM171";;"[AUTHOR]";"Corporate Author";",";;;;;;;
;;;;;;;;"[TITLE]";"Report Title";",";;;"Quoted";;;;
;;;;;;;;"[REPORT DATE]";;".";;;;;;;
35;"Business & institutional Records";"Professional Reports";"Historical research: corporate";;"L";"ESM172";;"[AUTHOR]";;",";"A";"SG";;;;;
;;;;;;;;"[PROFESSIONAL CREDENTIALS]";;".";"A";;;;"Optional";;
;;;;;;;"(";"[AFFILIATION]";"Corporate Affiliation";",";"P";;;;;;
;;;;;;;;"[AUTHOR LOCATION]";"Corporate Location";".)";"P";;;;;;
;;;;;;;;"[TITLE]";"Report Title";".";"T";;"Quoted";;;;
;;;;;;;;"[TYPE]";"Item Type";;"T";;;;;;
;;;;;;;;"[RECIPIENT]";;",";"T";;;;;;
;;;;;;;;"[ADDRESS]";"Recipient Address";".";;;;"Privacy";;;
;;;;;;;;"[REPORT DATE]";;".";"P";;;;;;
;;;;;;;;"[REPOSITORY]";;;"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
;;;;;;;;"[YEAR]";"When Held";".";"P";;;;;;
35;"Business & institutional Records";"Professional Reports";"Historical research: corporate";;"F";"ESM172";;"[AUTHOR]";;",";;"GS";;;;;
;;;;;;;;"[PROFESSIONAL CREDENTIALS]";;;;;;;"Optional";;
;;;;;;;"(";"[AFFILIATION]";"Corporate Affiliation";",";;;;;;;
;;;;;;;;"[AUTHOR LOCATION]";"Corporate Location";"),";;;;;;;
;;;;;;;;"[TITLE]";"Report Title";",";;;"Quoted";;;;
;;;;;;;"p.";"[PAGE]";"Page(s)";";";;;;;;;
;;;;;;;;"[TYPE]";"Item Type";;;;;;;;
;;;;;;;;"[RECIPIENT]";;",";;;;;;;
;;;;;;;;"[ADDRESS]";"Recipient Address";",";;;;"Privacy";;;
;;;;;;;;"[REPORT DATE]";;";";;;;;;;
;;;;;;;;"[REPOSITORY]";;;;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;",";;"LOC";;;;;
;;;;;;;;"[YEAR]";"When Held";".";;;;;;;
35;"Business & institutional Records";"Professional Reports";"Historical research: corporate";;"S";"ESM172";;"[AUTHOR]";;",";;"S";;;;;
;;;;;;;;"[TITLE]";"Report Title";",";;;"Quoted";;;;
;;;;;;;;"[PAGE]";"Page(s)";".";;;;;;;
36;"Business & institutional Records";"Professional Reports";"Historical research: online";;"L";"ESM173";;"[AUTHOR]";"Corporate Author";;"A";;;;;;
;;;;;;;"(";"[LOCATION]";"Corporate Location";").";"P";;;;;;
;;;;;;;;"[TITLE]";"Report Title";".";"T";;"Quoted";;;;
;;;;;;;;"[REPORT DATE]";;".";"T";;;;;;
;;;;;;;;"[WEBSITE]";;".";"P";;"Italics";;;;
;;;;;;;;"[URL (DIGITAL LOCATION)]";;":";"P";;;;;;
;;;;;;;;"[YEAR ACCESSED]";;".";"P";;;;;;
36;"Business & institutional Records";"Professional Reports";"Historical research: online";;"F";"ESM173";;"[AUTHOR]";"Corporate Author";;;;;;;;
;;;;;;;"(";"[LOCATION]";"Corporate Location";"),";;;;;;;
;;;;;;;;"[TITLE]";"Report Title";",";;;"Quoted";;;;
;;;;;;;;"[REPORT DATE]";;",";;;;;;;
;;;;;;;;"[WEBSITE]";;;;;"Italics";;;;
;;;;;;;"(";"[URL (DIGITAL LOCATION)]";;":";;;;;;;
;;;;;;;"accessed";"[DATE ACCESSED]";;"),";;;;;;;
;;;;;;;;"[SECTION]";;".";;;;;;;
36;"Business & institutional Records";"Professional Reports";"Historical research: online";;"S";"ESM173";;"[AUTHOR]";"Corporate Author";",";;;;;;;
;;;;;;;;"[TITLE]";"Report Title";",";;;"Quoted";;;;
;;;;;;;;"[SECTION]";;".";;;;;;;
37;"Business & institutional Records";"School Records";"Administrative material";;"L";"ESM174";;"[AUTHOR]";"Institutional Author";".";"A";;;;;;
;;;;;;;;"[TITLE]";"Record/Volume Title";".";"T";;"Quoted";;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
37;"Business & institutional Records";"School Records";"Administrative material";;"F";"ESM174";;"[AUTHOR]";"Institutional Author";",";;;;;;;
;;;;;;;;"[TITLE]";"Record/Volume Title";",";;;"Quoted";;;;
;;;;;;;"p.";"[PAGE]";"Page(s)";",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;";";;;;;;;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
37;"Business & institutional Records";"School Records";"Administrative material";;"S";"ESM174";;"[AUTHOR]";"Institutional Author";",";;;;;;;
;;;;;;;;"[TITLE]";"Record/Volume Title";",";;;"Quoted";;;;
;;;;;;;;"[PAGE]";"Page(s)";".";;;;;;;
38;"Business & institutional Records";"School Records";"Student transcript";;"L";"ESM175";;"[AUTHOR]";"Student";".";"A";"GS";;;;;
;;;;;;;;"[GROUP]";"Class";".";"T";;;;;;
;;;;;;;;"[ID]";"Record ID";".";"T";;;;;;
;;;;;;;;"[INSTITUTION]";;",";"T";;;;;;
;;;;;;;;"[LOCATION]";"Location of Institution";".";"T";;;;;;
;;;;;;;;"[REPOSITORY]";"Record Holder";",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
;;;;;;;;"[YEAR]";"When Held";".";"P";;;;;;
38;"Business & institutional Records";"School Records";"Student transcript";;"F";"ESM175";;"[AUTHOR]";"Student";",";;"GS";;;;;
;;;;;;;;"[GROUP]";"Class";",";;;;;;;
;;;;;;;;"[ID]";"Record ID";";";;;;;;;
;;;;;;;;"[INSTITUTION]";;",";;;;;;;
